"会员","级别","评价星级","评价内容","时间","点赞数","评论数","追评时间","追评内容","页面网址","页面标题","采集时间"
"w***5","PLUS会员","star5","外观精美！高端大气！制热特别快！刚装完马上来晒单！制热效果特别好！脸放那呼呼的热风！而且没有什么噪音！都是风声！总体感觉是一个不错的空调！选择了半天才购买的！东西物有所值！一直信赖京东","2018-12-08 13:48","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.2328269"
"O***O",,"star5","这款美的空调真的是太满意了，外型美观又大气，买了好些天，把制热制冷都试了，效果都非常好，制冷时无风感，老公满意的一塌糊涂。京东发货快，售后安装也很快，真的比实体店方便又划算。美的空调的质量我是非常信赖的，之前1999年买了台挂机，用了整整十九年，制冷制热到现在还很好，至今没维修过，就是之前搬家时充了一次氟利昂(不知是不是这三个字)，所以这次一下买了三个挂机一台柜机，都很好。京东客服也非常信守承诺，保价双十一，让我买的称心放心安心，绝对值得信赖！","2018-11-07 15:08","5","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.5320277"
"j***5",,"star5","此用户未填写评价内容","2018-12-03 18:59","1","0","[购买6天后追评]",,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.6040749"
"罗***飞",,"star5","物流超快原本要3号才到的结果2号下午四点左右就到家了！工作人员马上就进行安装，由于自己疏忽大意没有及时沟通管线大慨长度（配套管线只有四米），导致不得不第二天安装了！安装时辛苦师傅们了，由于外机地理耽误安装进程给他们增加了施工难度。谢谢他们！产品质量没得说，只是效果怎么样要后期使用后才能知道！期待它好的表现……","2018-12-04 20:25","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.7131491"
"停***6","PLUS会员","star5","空调外观非常漂亮，玫瑰金，看起来高端大气上档次，非常不错。冬天试了一下制热，效果非常好，速度快，46平米的客厅都带的动，希望效果一直这样好下去！最后给安装师傅一个大大的赞，礼貌，专业，负责。都非常满意！！！","2018-11-27 14:40","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.7831950"
"蜜***缘",,"star5","制热效果很好，很快，外观也很具有科技感，也测试了Wi-Fi的功能，相当不错，再也不怕出门忘记关空调了，安装师傅按装时很负责，很多方面都为我们考虑。最重要的是本次安装享受的0安装费用。没有除一分钱。","2018-12-13 18:56","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.8602466"
"s***5","PLUS会员","star5","空调很漂亮，不占地方，全直流变频压缩机，全铜管线，手机操控，超级方便，之前的美的用了10年了，一直稳定运行，这次继续支持美的，商品质量，安装服务都很满意100分","2018-12-02 10:44","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:12.9773249"
"j***薇",,"star5","人不在家，师傅到家安装好给我发安装照片，服务态度很好?","2018-11-29 15:16","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:13.0873985"
"j***0",,"star5","空调已安好；制热已开启；我选美的空调；质量好省心","2018-12-12 17:05","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:13.1634493"
"l***1","PLUS会员","star5","嗯，不错喔，很给力，房间30多，加入户的话40多加热杠杠的，师傅也非常负责，安得很好，看图所以看来变频，确实美的性价比高，能力也不错。","2018-11-27 00:32","0","0",,,"https://item.jd.com/6415295.html#none","【美的KFR-72LW/WYSN8A1@】美的（Midea）3匹 舒适星 超一级能效 无风感 变频冷暖 立式 客厅圆柱空调柜机 KFR-72LW/WYSN8A1@【行情 报价 价格 评测】-京东","2018-12-14 18:16:13.2775256"
